Bahasa Indonesia,Bahasa Inggris,Matematika,Fisika,Biologi,Seni,Geografi,Sejarah,Pendidikan Jasmani,Kewirausahaan,Ekonomi,MBTI,Hobi,Gaya Belajar,Jurusan Kuliah
76,75,96,92,76,64,72,76,63,75,79,ESTP,Teknologi,Auditori,Teknik Mesin
85,75,88,81,69,73,64,67,72,74,73,ISTP,Teknologi,Kinestetik,Teknik Mesin
75,78,95,88,69,53,68,78,66,88,81,ESTP,Otomotif,Kinestetik,Teknik Mesin
85,80,87,86,73,73,72,71,62,78,82,ISTP,Otomotif,Kinestetik,Teknik Mesin
83,76,90,86,77,53,72,70,79,83,81,ISTP,Otomotif,Auditori,Teknik Mesin
75,73,89,88,78,57,72,80,63,87,78,ESTP,Teknologi,Visual,Teknik Mesin
70,78,95,85,77,73,67,68,78,77,73,ISTP,Teknologi,Kinestetik,Teknik Mesin
80,84,87,95,73,75,72,80,85,85,81,ISTP,Teknologi,Kinestetik,Teknik Mesin
72,73,91,81,77,52,61,66,70,84,75,ESTP,Otomotif,Visual,Teknik Mesin
70,83,91,83,66,74,66,69,72,90,81,ISTP,Otomotif,Kinestetik,Teknik Mesin
80,83,94,81,66,70,67,79,64,78,76,ISTP,Teknologi,Visual,Teknik Mesin
82,77,100,86,78,66,60,78,76,86,78,ESTP,Teknologi,Kinestetik,Teknik Mesin
73,76,88,94,73,65,62,80,63,80,73,ISTP,Teknologi,Visual,Teknik Mesin
75,70,99,92,72,58,72,67,72,80,79,ISTP,Otomotif,Visual,Teknik Mesin
82,70,95,88,66,51,71,80,84,88,80,ESTP,Otomotif,Kinestetik,Teknik Mesin
78,84,90,92,74,65,69,69,80,78,82,ISTP,Otomotif,Auditori,Teknik Mesin
76,72,89,87,73,67,75,76,80,81,73,ESTP,Teknologi,Kinestetik,Teknik Mesin
75,79,93,92,67,61,65,71,75,78,83,ISTP,Teknologi,Kinestetik,Teknik Mesin
73,70,95,85,77,63,62,67,65,82,77,ISTP,Otomotif,Auditori,Teknik Mesin
75,76,94,91,80,67,72,70,66,85,75,ISTP,Otomotif,Auditori,Teknik Mesin
83,85,86,81,75,72,63,65,64,79,82,ESTP,Teknologi,Auditori,Teknik Mesin
82,70,87,86,70,63,64,70,83,72,79,ESTP,Teknologi,Visual,Teknik Mesin
83,77,100,87,71,64,60,80,67,74,78,ISTP,Otomotif,Kinestetik,Teknik Mesin
79,74,90,92,78,64,72,65,80,80,79,ISTP,Teknologi,Visual,Teknik Mesin
73,76,98,87,78,58,65,69,70,73,80,ISTP,Otomotif,Auditori,Teknik Mesin
73,84,92,81,79,71,71,72,70,74,80,ISTP,Teknologi,Kinestetik,Teknik Mesin
71,85,86,90,66,61,71,77,69,79,75,ESTP,Otomotif,Visual,Teknik Mesin
85,74,92,84,80,74,69,67,78,85,84,ESTP,Otomotif,Visual,Teknik Mesin
81,80,95,87,70,59,74,72,78,75,80,ESTP,Otomotif,Kinestetik,Teknik Mesin
73,75,85,84,75,74,74,65,68,84,73,ISTP,Otomotif,Kinestetik,Teknik Mesin
74,70,95,81,73,54,66,76,84,70,74,ISTP,Teknologi,Kinestetik,Teknik Mesin
79,79,96,83,66,66,75,76,66,76,78,ISTP,Teknologi,Auditori,Teknik Mesin
74,71,90,83,78,53,60,67,85,84,76,ESTP,Teknologi,Kinestetik,Teknik Mesin
72,75,93,94,71,66,63,70,74,72,83,ISTP,Teknologi,Visual,Teknik Mesin
74,76,97,89,70,50,62,78,82,70,83,ISTP,Otomotif,Auditori,Teknik Mesin
76,80,100,94,76,66,66,76,70,73,80,ESTP,Otomotif,Visual,Teknik Mesin
74,83,89,83,74,72,63,79,63,80,70,ISTP,Teknologi,Kinestetik,Teknik Mesin
76,83,91,88,71,54,63,68,84,84,85,ESTP,Teknologi,Kinestetik,Teknik Mesin
78,71,100,94,68,70,70,67,83,84,73,ESTP,Otomotif,Kinestetik,Teknik Mesin
70,75,89,84,77,63,61,75,75,82,78,ISTP,Otomotif,Visual,Teknik Mesin
75,78,95,90,73,51,68,68,76,82,77,ISTP,Teknologi,Kinestetik,Teknik Mesin
73,78,96,87,75,57,70,77,80,87,75,ISTP,Otomotif,Kinestetik,Teknik Mesin
79,77,95,86,79,70,74,77,63,82,71,ESTP,Otomotif,Visual,Teknik Mesin
71,79,86,88,80,58,65,66,73,83,83,ISTP,Otomotif,Auditori,Teknik Mesin
81,76,90,84,76,70,64,76,76,85,80,ESTP,Otomotif,Visual,Teknik Mesin
78,70,88,92,68,65,70,75,67,81,76,ESTP,Otomotif,Visual,Teknik Mesin
70,70,100,80,68,53,72,80,63,70,80,ESTP,Teknologi,Kinestetik,Teknik Mesin
78,79,91,95,73,68,60,78,63,72,72,ESTP,Teknologi,Auditori,Teknik Mesin
84,82,90,94,77,73,70,69,78,71,80,ISTP,Teknologi,Kinestetik,Teknik Mesin
74,83,91,93,66,60,66,68,77,81,79,ESTP,Teknologi,Kinestetik,Teknik Mesin
79,81,95,80,72,63,66,72,64,74,72,ISTP,Teknologi,Kinestetik,Teknik Mesin
73,82,91,80,70,63,67,79,81,72,70,ISTP,Teknologi,Kinestetik,Teknik Mesin
81,70,100,85,66,69,66,68,71,86,80,ESTP,Otomotif,Auditori,Teknik Mesin
72,84,88,94,76,50,70,78,71,72,76,ISTP,Teknologi,Visual,Teknik Mesin
71,74,100,85,80,74,71,65,79,74,70,ISTP,Otomotif,Kinestetik,Teknik Mesin
81,78,95,82,79,62,75,65,83,79,80,ESTP,Otomotif,Visual,Teknik Mesin
77,77,97,81,70,63,73,72,74,89,77,ISTP,Teknologi,Auditori,Teknik Mesin
85,82,86,89,77,55,75,75,73,71,79,ISTP,Otomotif,Visual,Teknik Mesin
77,70,90,91,70,61,65,74,85,86,82,ESTP,Teknologi,Kinestetik,Teknik Mesin
70,73,86,94,80,50,70,70,66,73,83,ISTP,Otomotif,Auditori,Teknik Mesin
83,74,100,95,65,63,66,71,63,77,76,ISTP,Otomotif,Visual,Teknik Mesin
84,84,89,81,69,61,70,76,83,85,84,ISTP,Otomotif,Visual,Teknik Mesin
72,79,90,84,66,59,60,70,65,71,85,ESTP,Teknologi,Auditori,Teknik Mesin
80,70,98,87,77,58,64,70,72,85,74,ESTP,Teknologi,Kinestetik,Teknik Mesin
78,81,86,88,74,51,66,80,82,85,84,ISTP,Otomotif,Auditori,Teknik Mesin
77,85,98,89,68,55,70,75,77,71,83,ESTP,Otomotif,Kinestetik,Teknik Mesin
73,79,94,85,66,66,66,68,81,80,72,ISTP,Teknologi,Auditori,Teknik Mesin
75,84,96,83,71,69,62,78,65,82,71,ESTP,Teknologi,Auditori,Teknik Mesin
76,77,94,80,70,52,66,72,64,83,81,ISTP,Otomotif,Auditori,Teknik Mesin
82,82,91,94,76,57,72,79,81,72,80,ESTP,Teknologi,Visual,Teknik Mesin
70,78,98,92,65,52,64,66,83,73,74,ISTP,Teknologi,Kinestetik,Teknik Mesin
79,70,85,89,68,50,70,79,74,90,85,ISTP,Otomotif,Kinestetik,Teknik Mesin
85,79,100,88,72,73,63,70,63,77,82,ISTP,Teknologi,Auditori,Teknik Mesin
73,76,97,95,79,62,66,75,73,84,70,ESTP,Teknologi,Auditori,Teknik Mesin
78,71,86,84,79,69,71,67,79,90,71,ESTP,Otomotif,Visual,Teknik Mesin
72,74,85,85,72,69,64,74,76,78,80,ISTP,Teknologi,Visual,Teknik Mesin
76,78,100,82,72,64,75,73,60,79,76,ISTP,Teknologi,Visual,Teknik Mesin
79,72,100,83,73,69,64,65,80,84,71,ISTP,Otomotif,Auditori,Teknik Mesin
78,73,87,82,66,66,69,77,73,79,80,ISTP,Teknologi,Auditori,Teknik Mesin
71,80,91,90,78,68,64,66,65,72,80,ISTP,Otomotif,Kinestetik,Teknik Mesin
81,74,97,80,70,51,68,73,60,83,79,ISTP,Teknologi,Kinestetik,Teknik Mesin
76,71,91,83,68,65,64,71,60,71,84,ISTP,Otomotif,Kinestetik,Teknik Mesin
75,70,99,92,78,70,64,72,82,90,72,ESTP,Teknologi,Visual,Teknik Mesin
77,79,86,89,73,55,75,78,67,83,73,ISTP,Otomotif,Visual,Teknik Mesin
83,84,95,84,68,72,70,79,63,72,73,ESTP,Teknologi,Auditori,Teknik Mesin
83,81,89,90,74,67,66,72,73,82,77,ESTP,Teknologi,Auditori,Teknik Mesin
79,72,89,94,77,67,67,71,81,89,70,ESTP,Teknologi,Visual,Teknik Mesin
70,82,86,80,73,71,68,77,71,83,77,ISTP,Teknologi,Visual,Teknik Mesin
82,75,95,82,67,67,67,75,74,72,76,ISTP,Teknologi,Auditori,Teknik Mesin
75,84,99,82,66,54,75,67,70,73,85,ESTP,Teknologi,Kinestetik,Teknik Mesin
74,80,86,83,80,54,60,79,84,78,74,ESTP,Otomotif,Auditori,Teknik Mesin
73,83,95,93,76,71,71,73,85,72,74,ISTP,Teknologi,Visual,Teknik Mesin
84,80,88,87,71,61,75,80,71,88,73,ESTP,Otomotif,Auditori,Teknik Mesin
81,85,90,91,65,50,68,72,60,88,74,ISTP,Teknologi,Kinestetik,Teknik Mesin
71,80,85,93,74,56,63,75,71,79,71,ESTP,Teknologi,Auditori,Teknik Mesin
85,72,87,90,70,70,75,72,76,82,76,ISTP,Otomotif,Auditori,Teknik Mesin
83,73,88,82,80,56,64,75,79,83,80,ISTP,Teknologi,Kinestetik,Teknik Mesin
81,84,90,83,66,67,73,71,69,77,70,ISTP,Otomotif,Visual,Teknik Mesin
73,71,91,83,74,62,67,76,75,76,70,ESTP,Otomotif,Visual,Teknik Mesin
85,82,95,95,65,51,74,72,69,70,79,ESTP,Teknologi,Kinestetik,Teknik Mesin
74,73,93,85,71,54,71,74,80,80,76,ESTP,Otomotif,Kinestetik,Teknik Mesin
85,82,93,86,76,53,67,74,65,71,78,ISTP,Teknologi,Kinestetik,Teknik Mesin
84,73,92,87,70,66,64,74,73,85,82,ISTP,Teknologi,Auditori,Teknik Mesin
81,75,89,80,73,59,71,73,62,83,75,ISTP,Teknologi,Visual,Teknik Mesin
76,71,91,83,78,69,70,75,75,73,85,ESTP,Otomotif,Auditori,Teknik Mesin
79,76,94,80,78,69,70,73,72,88,73,ISTP,Otomotif,Auditori,Teknik Mesin
78,70,99,86,75,70,75,69,60,85,70,ISTP,Otomotif,Kinestetik,Teknik Mesin
84,81,92,94,77,55,70,73,65,70,77,ISTP,Otomotif,Visual,Teknik Mesin
81,83,96,80,77,75,74,69,84,72,79,ISTP,Teknologi,Kinestetik,Teknik Mesin
76,80,99,90,69,57,62,68,60,80,78,ESTP,Teknologi,Kinestetik,Teknik Mesin
81,82,98,93,69,62,61,76,77,82,77,ESTP,Otomotif,Visual,Teknik Mesin
73,77,92,94,77,50,61,78,80,73,80,ISTP,Teknologi,Auditori,Teknik Mesin
76,73,96,93,65,64,72,72,75,90,74,ISTP,Teknologi,Auditori,Teknik Mesin
82,70,87,83,79,70,60,65,84,90,74,ESTP,Teknologi,Auditori,Teknik Mesin
78,76,98,83,69,55,60,70,72,83,72,ISTP,Otomotif,Visual,Teknik Mesin
75,73,92,89,66,53,65,80,67,82,73,ESTP,Otomotif,Auditori,Teknik Mesin
74,83,89,87,71,61,67,80,74,82,82,ISTP,Otomotif,Visual,Teknik Mesin
80,70,91,80,69,63,72,65,63,75,75,ISTP,Teknologi,Kinestetik,Teknik Mesin
77,74,90,87,70,67,64,80,84,78,82,ISTP,Teknologi,Kinestetik,Teknik Mesin
70,74,100,86,78,63,61,72,83,81,79,ISTP,Otomotif,Visual,Teknik Mesin
73,84,100,83,67,68,71,73,77,72,73,ESTP,Teknologi,Visual,Teknik Mesin
70,76,89,89,69,62,60,74,65,86,73,ISTP,Otomotif,Auditori,Teknik Mesin
82,76,100,86,68,65,61,70,75,71,84,ESTP,Otomotif,Visual,Teknik Mesin
82,80,95,90,71,75,64,69,74,72,78,ESTP,Otomotif,Visual,Teknik Mesin
83,74,87,82,80,61,61,71,60,75,79,ESTP,Teknologi,Visual,Teknik Mesin
79,71,99,83,74,59,69,72,78,84,74,ESTP,Teknologi,Auditori,Teknik Mesin
71,82,94,81,71,57,69,68,75,90,75,ISTP,Teknologi,Kinestetik,Teknik Mesin
71,77,94,90,71,70,71,78,71,83,81,ISTP,Teknologi,Visual,Teknik Mesin
79,73,87,86,71,65,74,69,61,76,77,ISTP,Otomotif,Auditori,Teknik Mesin
74,73,90,81,79,68,74,72,76,80,72,ESTP,Teknologi,Visual,Teknik Mesin
81,77,92,83,65,61,70,73,60,89,74,ESTP,Otomotif,Auditori,Teknik Mesin
76,74,99,92,74,64,62,79,66,88,78,ISTP,Teknologi,Visual,Teknik Mesin
78,80,97,92,75,53,74,70,70,71,70,ISTP,Otomotif,Auditori,Teknik Mesin
72,82,90,83,67,73,65,73,74,85,78,ESTP,Teknologi,Visual,Teknik Mesin
83,84,89,87,75,55,61,68,67,79,80,ESTP,Otomotif,Kinestetik,Teknik Mesin
76,82,87,90,70,61,62,65,62,70,84,ISTP,Teknologi,Auditori,Teknik Mesin
78,70,94,90,78,51,60,72,79,76,77,ISTP,Teknologi,Kinestetik,Teknik Mesin
79,72,94,80,73,58,74,68,79,77,72,ISTP,Teknologi,Auditori,Teknik Mesin
78,79,91,80,78,70,62,80,60,89,73,ISTP,Otomotif,Visual,Teknik Mesin
78,71,91,91,71,64,61,70,76,81,83,ISTP,Otomotif,Auditori,Teknik Mesin
81,79,85,83,65,65,62,75,67,79,78,ESTP,Otomotif,Kinestetik,Teknik Mesin
85,72,86,95,65,63,66,66,84,70,79,ISTP,Otomotif,Auditori,Teknik Mesin
81,79,89,93,72,57,63,80,85,70,80,ISTP,Otomotif,Visual,Teknik Mesin
81,75,97,90,78,62,71,65,70,88,70,ISTP,Otomotif,Visual,Teknik Mesin
84,80,91,94,74,65,64,73,60,85,72,ISTP,Otomotif,Visual,Teknik Mesin
75,73,95,86,67,66,66,76,74,86,81,ISTP,Teknologi,Kinestetik,Teknik Mesin
83,85,94,87,80,64,71,66,82,74,76,ESTP,Otomotif,Kinestetik,Teknik Mesin
76,78,97,89,72,70,60,78,71,79,79,ISTP,Otomotif,Kinestetik,Teknik Mesin
78,70,87,86,79,50,72,69,68,78,77,ESTP,Teknologi,Kinestetik,Teknik Mesin
72,77,96,91,69,58,65,65,82,79,71,ISTP,Teknologi,Auditori,Teknik Mesin
88,100,64,62,74,70,95,88,74,81,79,ESTJ,Bangunan,Kinestetik,Teknik Sipil
88,97,70,56,86,67,86,85,72,78,83,ESTJ,Bangunan,Auditori,Teknik Sipil
94,89,69,61,78,82,95,85,75,87,81,ESTJ,Menggambar,Kinestetik,Teknik Sipil
94,98,71,67,89,83,88,84,68,77,87,ISTP,Menggambar,Auditori,Teknik Sipil
89,98,71,50,81,83,91,81,67,82,89,ISTP,Menggambar,Visual,Teknik Sipil
88,100,63,68,87,67,92,90,67,82,88,ISTP,Bangunan,Visual,Teknik Sipil
91,87,66,65,76,74,81,91,65,88,82,ESTJ,Bangunan,Kinestetik,Teknik Sipil
88,86,66,54,77,71,93,82,68,84,90,ESTJ,Menggambar,Kinestetik,Teknik Sipil
92,97,74,52,82,77,84,94,76,86,79,ESTJ,Bangunan,Kinestetik,Teknik Sipil
93,85,62,51,79,77,95,90,70,75,80,ISTP,Bangunan,Kinestetik,Teknik Sipil
86,88,71,65,85,80,85,89,63,88,75,ESTJ,Menggambar,Auditori,Teknik Sipil
87,86,63,60,78,70,94,83,62,87,80,ISTP,Menggambar,Kinestetik,Teknik Sipil
96,97,62,51,86,65,82,82,74,87,81,ISTP,Menggambar,Kinestetik,Teknik Sipil
91,96,60,67,73,83,90,86,70,76,85,ISTP,Bangunan,Visual,Teknik Sipil
99,89,65,66,77,78,93,89,61,80,79,ESTJ,Bangunan,Kinestetik,Teknik Sipil
85,96,71,50,81,83,94,92,77,75,90,ESTJ,Menggambar,Kinestetik,Teknik Sipil
88,100,73,66,79,83,85,83,70,76,86,ISTP,Bangunan,Auditori,Teknik Sipil
89,98,71,56,71,79,81,91,75,78,77,ISTP,Bangunan,Kinestetik,Teknik Sipil
93,99,65,54,90,68,85,80,76,75,81,ESTJ,Menggambar,Visual,Teknik Sipil
95,95,65,56,81,77,95,95,70,75,86,ISTP,Bangunan,Kinestetik,Teknik Sipil
85,99,69,62,77,68,81,84,70,89,81,ESTJ,Menggambar,Auditori,Teknik Sipil
93,97,67,68,76,78,91,81,76,83,90,ESTJ,Bangunan,Auditori,Teknik Sipil
93,98,61,53,70,79,86,91,65,80,90,ESTJ,Bangunan,Visual,Teknik Sipil
91,94,61,52,81,69,94,84,63,82,80,ISTP,Bangunan,Auditori,Teknik Sipil
98,89,74,67,79,69,84,93,76,89,77,ESTJ,Menggambar,Auditori,Teknik Sipil
86,90,60,64,73,80,86,91,75,89,90,ISTP,Bangunan,Visual,Teknik Sipil
86,90,66,67,80,69,82,92,65,76,88,ESTJ,Menggambar,Kinestetik,Teknik Sipil
86,95,73,52,74,72,95,94,72,76,87,ESTJ,Menggambar,Kinestetik,Teknik Sipil
91,99,64,59,71,82,94,95,80,84,75,ISTP,Bangunan,Visual,Teknik Sipil
91,91,75,66,82,73,94,94,69,85,78,ISTP,Bangunan,Kinestetik,Teknik Sipil
85,85,61,68,75,70,85,88,61,78,84,ISTP,Bangunan,Auditori,Teknik Sipil
89,95,75,66,86,65,89,85,78,89,79,ESTJ,Menggambar,Kinestetik,Teknik Sipil
87,91,75,66,85,73,95,94,79,86,89,ESTJ,Bangunan,Auditori,Teknik Sipil
93,93,66,70,80,82,92,85,62,86,84,ISTP,Bangunan,Auditori,Teknik Sipil
99,100,68,59,70,83,94,83,65,77,90,ESTJ,Menggambar,Kinestetik,Teknik Sipil
89,93,74,52,87,67,82,87,80,90,86,ISTP,Bangunan,Visual,Teknik Sipil
91,99,66,67,74,70,87,94,60,80,77,ESTJ,Menggambar,Visual,Teknik Sipil
97,99,63,52,83,84,81,94,71,81,84,ESTJ,Menggambar,Visual,Teknik Sipil
86,97,69,70,80,65,87,86,63,85,85,ESTJ,Menggambar,Kinestetik,Teknik Sipil
87,96,63,55,82,85,81,86,62,87,80,ISTP,Bangunan,Auditori,Teknik Sipil
92,92,67,52,73,75,87,89,79,77,87,ESTJ,Menggambar,Kinestetik,Teknik Sipil
86,98,71,54,79,80,89,90,79,85,77,ISTP,Bangunan,Auditori,Teknik Sipil
85,93,71,66,75,75,85,92,69,78,84,ISTP,Menggambar,Kinestetik,Teknik Sipil
100,94,70,62,88,74,86,91,62,77,84,ESTJ,Menggambar,Kinestetik,Teknik Sipil
90,92,65,56,80,77,84,94,72,84,78,ISTP,Bangunan,Visual,Teknik Sipil
97,86,68,65,75,68,85,80,68,83,90,ISTP,Menggambar,Kinestetik,Teknik Sipil
99,95,63,55,70,84,94,91,60,88,78,ESTJ,Menggambar,Visual,Teknik Sipil
86,92,63,58,88,76,90,82,75,78,87,ISTP,Bangunan,Kinestetik,Teknik Sipil
91,100,75,69,75,70,90,93,63,78,86,ESTJ,Bangunan,Kinestetik,Teknik Sipil
91,93,63,60,74,78,91,87,80,87,88,ESTJ,Menggambar,Kinestetik,Teknik Sipil
100,89,69,61,77,67,89,83,73,84,84,ISTP,Menggambar,Kinestetik,Teknik Sipil
93,95,61,56,76,81,83,80,72,87,78,ESTJ,Bangunan,Kinestetik,Teknik Sipil
96,94,62,64,70,70,85,93,79,87,76,ISTP,Menggambar,Auditori,Teknik Sipil
100,85,74,67,74,82,80,83,80,82,79,ISTP,Bangunan,Visual,Teknik Sipil
98,100,62,59,89,67,83,83,72,84,77,ESTJ,Menggambar,Kinestetik,Teknik Sipil
90,90,62,70,75,72,86,92,79,84,85,ISTP,Menggambar,Auditori,Teknik Sipil
87,90,75,53,77,75,83,88,66,81,87,ISTP,Bangunan,Kinestetik,Teknik Sipil
89,95,75,56,81,78,80,93,72,86,78,ESTJ,Bangunan,Kinestetik,Teknik Sipil
99,93,73,51,76,65,82,92,60,89,89,ISTP,Bangunan,Auditori,Teknik Sipil
99,94,66,57,83,65,91,86,66,89,76,ESTJ,Menggambar,Auditori,Teknik Sipil
85,100,68,51,89,66,92,95,76,89,78,ISTP,Menggambar,Visual,Teknik Sipil
98,96,64,55,73,69,92,81,65,83,78,ESTJ,Bangunan,Auditori,Teknik Sipil
97,96,68,60,74,79,81,92,80,84,79,ISTP,Menggambar,Auditori,Teknik Sipil
92,93,69,60,79,75,87,83,64,76,87,ESTJ,Menggambar,Kinestetik,Teknik Sipil
100,93,69,61,82,73,84,85,61,83,84,ESTJ,Bangunan,Auditori,Teknik Sipil
88,91,75,62,71,79,91,82,80,86,77,ISTP,Bangunan,Kinestetik,Teknik Sipil
92,94,73,65,86,66,91,85,63,90,90,ESTJ,Bangunan,Auditori,Teknik Sipil
93,87,74,68,90,76,81,92,66,90,90,ISTP,Menggambar,Visual,Teknik Sipil
99,99,74,64,88,73,82,92,77,76,75,ISTP,Bangunan,Kinestetik,Teknik Sipil
92,86,64,67,77,79,91,84,62,82,75,ESTJ,Bangunan,Kinestetik,Teknik Sipil
91,94,67,57,70,82,93,91,67,77,86,ISTP,Bangunan,Auditori,Teknik Sipil
100,95,66,54,70,85,87,95,74,78,81,ISTP,Menggambar,Auditori,Teknik Sipil
99,86,72,65,78,69,95,83,69,83,84,ESTJ,Menggambar,Kinestetik,Teknik Sipil
98,89,68,55,85,82,83,86,71,84,83,ISTP,Menggambar,Kinestetik,Teknik Sipil
90,98,66,60,77,76,95,84,69,76,84,ISTP,Bangunan,Auditori,Teknik Sipil
91,87,68,67,76,73,94,87,62,84,89,ISTP,Bangunan,Visual,Teknik Sipil
92,91,67,57,83,72,86,88,74,83,81,ESTJ,Bangunan,Auditori,Teknik Sipil
88,85,61,67,79,85,93,81,61,87,88,ESTJ,Menggambar,Kinestetik,Teknik Sipil
98,88,70,70,87,65,87,81,67,89,85,ISTP,Menggambar,Visual,Teknik Sipil
94,95,65,69,87,78,85,83,66,81,86,ESTJ,Menggambar,Visual,Teknik Sipil
100,95,65,67,80,75,81,81,79,78,77,ISTP,Bangunan,Kinestetik,Teknik Sipil
92,97,62,65,73,79,84,83,66,79,88,ISTP,Bangunan,Kinestetik,Teknik Sipil
97,92,75,51,72,78,94,84,71,90,76,ESTJ,Bangunan,Kinestetik,Teknik Sipil
93,100,64,59,72,75,91,86,76,89,80,ESTJ,Bangunan,Auditori,Teknik Sipil
90,95,63,54,70,83,89,95,66,77,90,ISTP,Menggambar,Visual,Teknik Sipil
94,100,74,58,71,77,90,90,71,76,76,ESTJ,Menggambar,Auditori,Teknik Sipil
90,88,65,64,90,70,87,88,80,75,86,ISTP,Bangunan,Kinestetik,Teknik Sipil
88,100,75,65,78,83,86,88,74,84,85,ISTP,Menggambar,Kinestetik,Teknik Sipil
100,94,67,70,81,85,88,90,74,81,75,ESTJ,Menggambar,Kinestetik,Teknik Sipil
92,85,64,50,75,70,82,84,73,77,85,ISTP,Bangunan,Kinestetik,Teknik Sipil
92,90,68,70,87,68,87,89,72,77,90,ISTP,Bangunan,Kinestetik,Teknik Sipil
93,89,65,67,87,81,83,86,65,77,87,ESTJ,Menggambar,Kinestetik,Teknik Sipil
88,88,66,52,72,77,87,86,72,88,90,ESTJ,Bangunan,Auditori,Teknik Sipil
95,89,70,53,77,69,92,90,61,87,89,ESTJ,Bangunan,Visual,Teknik Sipil
97,98,73,59,87,77,81,82,62,83,81,ESTJ,Bangunan,Auditori,Teknik Sipil
97,98,72,58,84,67,93,80,70,86,75,ESTJ,Bangunan,Auditori,Teknik Sipil
89,90,63,58,72,66,95,84,62,89,79,ISTP,Menggambar,Kinestetik,Teknik Sipil
99,91,68,58,80,84,90,86,69,76,81,ISTP,Menggambar,Visual,Teknik Sipil
97,91,65,61,82,67,87,83,74,82,81,ISTP,Menggambar,Kinestetik,Teknik Sipil
86,95,73,52,81,85,85,90,79,83,88,ESTJ,Menggambar,Visual,Teknik Sipil
87,96,60,70,70,70,88,85,73,81,89,ESTJ,Bangunan,Auditori,Teknik Sipil
85,97,70,66,73,77,86,84,66,80,82,ESTJ,Bangunan,Visual,Teknik Sipil
90,100,70,67,77,65,91,93,63,81,88,ESTJ,Bangunan,Kinestetik,Teknik Sipil
91,96,60,70,73,75,89,82,69,82,80,ISTP,Menggambar,Visual,Teknik Sipil
89,95,66,57,76,65,87,90,61,76,88,ESTJ,Bangunan,Kinestetik,Teknik Sipil
94,86,63,57,76,83,89,84,60,89,75,ESTJ,Menggambar,Visual,Teknik Sipil
96,91,70,62,79,71,81,90,63,88,88,ISTP,Bangunan,Kinestetik,Teknik Sipil
87,89,75,50,72,82,88,88,61,81,89,ESTJ,Menggambar,Auditori,Teknik Sipil
87,100,73,56,83,76,80,88,74,83,89,ESTJ,Bangunan,Auditori,Teknik Sipil
85,97,64,63,71,69,85,80,67,80,75,ISTP,Bangunan,Kinestetik,Teknik Sipil
85,89,66,67,84,73,83,80,71,76,79,ESTJ,Bangunan,Visual,Teknik Sipil
94,97,60,61,71,70,83,92,69,79,86,ISTP,Bangunan,Auditori,Teknik Sipil
93,97,71,61,77,72,89,85,72,80,86,ESTJ,Menggambar,Auditori,Teknik Sipil
88,90,63,55,73,68,89,94,79,75,77,ESTJ,Menggambar,Auditori,Teknik Sipil
85,89,62,60,83,80,87,85,61,86,87,ESTJ,Menggambar,Auditori,Teknik Sipil
95,89,66,52,79,84,94,81,63,76,82,ESTJ,Bangunan,Kinestetik,Teknik Sipil
99,91,63,67,77,80,86,87,80,87,85,ISTP,Bangunan,Auditori,Teknik Sipil
86,86,73,68,87,80,95,90,60,75,86,ISTP,Bangunan,Kinestetik,Teknik Sipil
96,98,62,66,76,78,84,91,76,87,81,ESTJ,Menggambar,Visual,Teknik Sipil
95,87,72,59,75,75,95,91,80,83,76,ISTP,Menggambar,Visual,Teknik Sipil
87,94,67,50,78,75,85,84,77,81,82,ESTJ,Menggambar,Visual,Teknik Sipil
85,96,73,57,79,85,85,81,77,89,79,ESTJ,Bangunan,Kinestetik,Teknik Sipil
98,93,69,70,76,69,82,90,70,85,84,ESTJ,Bangunan,Visual,Teknik Sipil
100,89,69,59,71,84,86,90,65,77,79,ESTJ,Menggambar,Visual,Teknik Sipil
90,92,70,62,90,79,85,94,73,78,81,ESTJ,Bangunan,Auditori,Teknik Sipil
93,92,64,56,73,84,92,84,71,75,86,ESTJ,Bangunan,Kinestetik,Teknik Sipil
94,87,62,52,76,72,87,92,73,85,82,ESTJ,Bangunan,Visual,Teknik Sipil
93,96,65,70,76,78,93,95,63,90,75,ESTJ,Menggambar,Visual,Teknik Sipil
96,85,73,56,86,67,82,89,73,83,88,ISTP,Menggambar,Kinestetik,Teknik Sipil
92,99,63,70,73,65,93,84,69,82,84,ESTJ,Menggambar,Kinestetik,Teknik Sipil
99,90,75,70,83,85,86,84,72,89,82,ESTJ,Menggambar,Auditori,Teknik Sipil
98,91,65,65,73,85,89,95,60,83,75,ISTP,Menggambar,Visual,Teknik Sipil
93,93,72,55,71,74,81,94,80,84,87,ESTJ,Bangunan,Kinestetik,Teknik Sipil
89,86,70,64,79,78,89,91,71,80,82,ESTJ,Menggambar,Auditori,Teknik Sipil
92,90,61,62,80,70,93,95,76,85,78,ISTP,Bangunan,Kinestetik,Teknik Sipil
96,94,71,67,76,77,94,82,70,75,80,ESTJ,Bangunan,Auditori,Teknik Sipil
88,87,67,55,76,74,82,83,77,84,75,ISTP,Menggambar,Auditori,Teknik Sipil
91,90,68,59,81,65,95,83,63,83,90,ESTJ,Bangunan,Kinestetik,Teknik Sipil
100,100,62,61,87,69,88,81,79,83,87,ISTP,Menggambar,Kinestetik,Teknik Sipil
98,98,67,54,75,71,80,95,62,85,89,ESTJ,Bangunan,Auditori,Teknik Sipil
